keys,en,ru
LOCATION_NECROMANCER_LAIR,Necromancer's Lair,Логово Некроманта
UI_MAP_TITLE,Campaign Map,Карта кампании
UI_MAP_LEVEL,Level,Уровень
UI_MAP_BRANCH,Branch,Ответвление
UI_MAP_LOCKED,Locked,Заблокировано
UI_MAP_COMPLETED,Completed,Пройдено
UI_MAP_SHOP,Village Shop,Магазин поселения
UI_MAP_MAIN_MENU,Main Menu,В главное меню
UI_MAP_SAVED,Saved,Сохранено
UI_MAP_SAVE_FAILED,Save failed,Не удалось сохранить
UI_PAUSE_SAVE,Save Game,Сохранить
CHARACTER_MAGE,Mage,Маг
CHARACTER_WARRIOR,Warrior,Воин
ENEMY_SKELETON_WARRIOR,Skeleton,Скелет
ENEMY_SKELETON_ARCHER,Skeleton Archer,Скелет-лучник
ENEMY_ZOMBIE,Zombie,Зомби
ENEMY_SLIME,Slime,Слайм
ENEMY_DRAUGR_WARRIOR,Draugr Warrior,Драугр-воин
ENEMY_DRAUGR_DEFENDER,Draugr Defender,Драугр-защитник
ENEMY_DRAUGR_CASTER,Draugr Caster,Драугр-маг
ENEMY_GENERAL_OF_DRAUGR,General of Draugr,Генерал Драугров
ENEMY_ARHISKELETON,Arhiskeleton,Архискелет
ENEMY_NECROMANCER,Necromancer,Некромант
UI_ENGLISH,English,English
UI_RUSSIAN,Русский,Русский
UI_FULLSCREEN,Fullscreen,Полный экран
UI_BORDERLESS,Borderless,Без рамок
UI_WINDOWED,Windowed,Оконный
UI_GAMEOVER_TITLE,Game Over,Игра Окончена
UI_GAMEOVER_EXIT,Exit,Выйти
UI_GAMEOVER_RETRY,Try Again,Попробовать снова
UI_GAMEOVER_MAIN_MENU,Main Menu,В главное меню
UI_GAMEOVER_WAVE_REACHED,Wave Reached:,Достигнута волна:
UI_GAMEOVER_COINS,Coins Collected:,Собрано монет:
UI_GAMEOVER_ENEMIES_DEFEATED,Enemies Defeated:,Врагов побеждено:
UI_VICTORY_TITLE,Victory!,Победа!
UI_VICTORY_NEXT_WAVE,Next Wave,Следующая волна
UI_VICTORY_MAIN_MENU,Main Menu,В главное меню
UI_SHOP_NEXT_WAVE,Next Wave,Следующая волна
UI_INVENTORY,Inventory,Инвентарь
UI_SHOP_TITLE,Shop,Магазин Улучшений
UI_SHOP_HP,HP,Здоровье
UI_SHOP_DMG,DMG,Урон
UI_SHOP_DEF,DEF,Защита
UI_SHOP_COST,Cost,Цена
UI_SHOP_BUY,Buy,Купить
UI_COINS,Coins,Монеты
UI_CLOSE,Close,Закрыть
UI_UPGRADE,Upgrade,Улучшить
UI_EQUIPMENT,Equipment,Снаряжение
UI_INVENTORY_NO_WEAPON,No weapon,Нет оружия
UI_INVENTORY_LEVEL_LABEL,Lvl.,Ур.
UI_STATUS_DURATION_LABEL,Remaining:,Осталось:
HERO_MAGE,Altarion,Эльтарион
HERO_WARRIOR,Aldric,Элдрик
STAT_DAMAGE,Damage,Урон
STAT_BLEED_DAMAGE,Bleed Dmg per turn,Урон от кровотечения / ход
STAT_BURN_DAMAGE,Burn Dmg per turn,Урон от горения / ход
STAT_VULNERABLE_AMOUNT,Incoming Damage Increase %,Увеличение входящего урона %
STAT_SHOCK_AMOUNT,Incoming Damage Increase %,Увеличение входящего урона %
STAT_WEAKEN_AMOUNT,Enemy Attack Reduction %,Снижение силы атаки врага %
WPN_NAME_FIREBALL,Fireball,Огненный шар
WPN_DESC_FIREBALL,Deals high damage and causes burning effect inflicting damage every turn.,Наносит большой урон и вызывает эффект горения наносящий врагу урон каждый ход.
WPN_NAME_ICEBALL,Iceball,Ледяной шар
WPN_DESC_ICEBALL,Deals low damage and reduces enemy attack power.,Наносит малый урон и уменьшает силу атаки у противника.
WPN_NAME_ELECTROBALL,Electroball,Электрошар
WPN_DESC_ELECTROBALL,Deals medium damage and causes shock increasing incoming damage.,Наносит средний урон и вызывает шок увеличивающий входящий урон по врагу.
WPN_NAME_SWORD,Sword,Меч
WPN_DESC_SWORD,Deals high damage.,Наносит большой урон.
WPN_NAME_AXE,Axe,Топор
WPN_DESC_AXE,Deals medium damage and causes bleeding reducing enemy health every turn.,Наносит средний урон и вызывает кровотечение отнимающее у врага здоровье каждый ход.
WPN_NAME_SPEAR,Spear,Копьё
WPN_DESC_SPEAR,Deals low damage and increases incoming damage to the enemy.,Наносит малый урон и увеличивает входящий урон по врагу.
WPN_NAME_LEATHER_ARMOR,Leather Armor,Кожаная броня
WPN_NAME_DRAGON_SCALES,Dragon Scales,Чешуя дракона
WPN_NAME_POWER_RING,Ring of Power,Кольцо силы
WPN_NAME_LIFE_AMULET,Amulet of Life,Амулет жизни
UI_CREDITS_GAME_TITLE,Altarion's Journey,Altarion's Journey
UI_CREDITS_SUBTITLE,A Turn-Based Dual-Hero RPG,Пошаговая RPG о двух героях
UI_CREDITS_TEAM_TITLE,Development Team,Команда Разработчиков
UI_CREDITS_PROGRAMMING,Game Design & Programming,Геймдизайн и Программирование
UI_CREDITS_ART,Art & Graphics,Арт и Графика
UI_CREDITS_AUDIO,Audio,Звук
UI_CREDITS_THANKS,Special Thanks,Особая благодарность
UI_CREDITS_BUILT_WITH,Built with,Создано с помощью
UI_CREDITS_COPYRIGHT,(C) 2026 All Rights Reserved,(C) 2026 Все права защищены
AUTHOR_NAME,Maksimov Daniil,Максимов Даниил
UI_DMG_SHORT,DMG,УРН
UI_HP_SHORT,HP,ОЗ
UI_SHIELD_SHORT,Shield,Щит
UI_CASCADE,CASCADE,КАСКАД
UI_COMBO,Combo!,Комбо!
UI_GAMEOVER_SUBTITLE,Both heroes have fallen...,Оба героя пали...
UI_GAMEOVER_STATS_TITLE,Your Journey,Ваш Путь
UI_CUTSCENE_SKIP_HINT,Hold Enter to skip,"Зажмите Enter, чтобы пропустить"
CUTSCENE_NEW_GAME_INTRO_1,[Placeholder] New game intro - slide 1. Replace with real story text.,[Плейсхолдер] Интро новой игры - слайд 1. Заменить на настоящий текст.
CUTSCENE_NEW_GAME_INTRO_2,[Placeholder] New game intro - slide 2. Replace with real story text.,[Плейсхолдер] Интро новой игры - слайд 2. Заменить на настоящий текст.
CUTSCENE_NEW_GAME_INTRO_3,[Placeholder] New game intro - slide 3. Replace with real story text.,[Плейсхолдер] Интро новой игры - слайд 3. Заменить на настоящий текст.
CUTSCENE_NECROMANCER_DEFEAT_1,[Placeholder] Necromancer defeat - slide 1. Replace with real story text.,[Плейсхолдер] Победа над некромантом - слайд 1. Заменить на настоящий текст.
CUTSCENE_NECROMANCER_DEFEAT_2,[Placeholder] Necromancer defeat - slide 2. Replace with real story text.,[Плейсхолдер] Победа над некромантом - слайд 2. Заменить на настоящий текст.
CUTSCENE_NECROMANCER_DEFEAT_3,[Placeholder] Necromancer defeat - slide 3. Replace with real story text.,[Плейсхолдер] Победа над некромантом - слайд 3. Заменить на настоящий текст.
